type,xcor,ycor,cash?
server,28,2,1,True
server,18,2,1,True
server,31,2,-1,True
server,32,2,1,True
server,17,2,-1,True
server,35,2,-1,True
server,14,2,1,True
server,36,2,1,True
server,13,2,-1,True
server,10,2,1,True
server,9,2,-1,True
server,6,2,1,True
sco-server,24,1,-1,True
sco-server,24,3,-1,True
sco-server,24,5,-1,True
sco-server,27,1,1,False
sco-server,27,3,1,False
sco-server,27,5,1,False
sco-server,20,1,-1,True
sco-server,20,3,-1,True
sco-server,20,5,-1,True
sco-server,23,1,1,False
sco-server,23,3,1,False
sco-server,23,5,1,False
